Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,META,NVDA,META,NVDA,META,NVDA,META,NVDA,META,NVDA
Date,,,,,,,,,,
2021-01-04,266.8459167480469,13.076019287109375,272.85872848796714,13.613479253749597,263.13504773019605,12.92545084499774,272.6404402939786,13.066796036911752,15106100,560640000
2021-01-05,268.860107421875,13.366434097290039,270.27896553417906,13.405073031038857,266.1215883285125,13.049592368083989,266.2009823694545,13.062305596703991,9871600,322760000
2021-01-06,261.259765625,12.57844352722168,265.6651965162372,13.207141184667453,257.9854727939254,12.550025385480215,259.9599682063647,13.184705459258995,24354100,580424000
2021-01-07,266.6474914550781,13.305859565734863,269.4951398375126,13.33951363281077,262.71833380809295,12.849667703065894,263.82960827148605,12.930435562151088,15789800,461480000
2021-01-08,265.4866027832031,13.238802909851074,266.8558624092201,13.382640540646907,261.1307705027565,13.004724061709922,266.2208311647082,13.32430840322089,18528300,292528000
2021-01-11,254.8401336669922,13.582564353942871,261.4185145836699,13.921094354023303,253.90745047422294,13.324304853864655,258.45180565260176,13.380393688627079,30412300,518344000
2021-01-12,249.13490295410156,13.446207046508789,257.69771095255174,13.71518662773532,248.3510608913129,13.30685695821669,254.63177463889247,13.713191537825285,26383500,291476000
2021-01-13,249.68063354492188,13.493071556091309,251.97264457383557,13.586055290946524,247.25962990122798,13.346741517718936,249.59133795314094,13.451440936900354,19528900,210028000
2021-01-14,243.72735595703125,13.162519454956055,253.04424135584142,13.56087745931454,242.7053771272773,13.142826263852895,251.42692829090055,13.536198445576108,29739400,283120000
2021-01-15,249.40283203125,12.82274341583252,251.88336623941407,13.287161896457812,245.23553758953017,12.811775176828125,245.96976602555998,13.190189882912284,24942900,277780000
2021-01-19,259.0669860839844,12.988018989562988,260.15842713817875,13.056571903627317,250.75223098015417,12.807286504960677,254.8996767061357,12.979043939237153,28028500,226188000
2021-01-20,265.3973083496094,13.327546119689941,268.2151913795209,13.392110759074399,261.547514682843,13.019429339264908,266.835999921806,13.074271482544104,25199900,258572000
2021-01-21,270.74530029296875,13.827862739562988,271.46962706852975,13.959236264193995,265.4071866724179,13.21511912323299,267.16342399454226,13.380145761603893,20838700,337780000
2021-01-22,272.3625793457031,13.673306465148926,276.3016677700248,13.802187566902738,269.88204583617943,13.588300226138271,269.89197765980157,13.70072801662627,21954000,246820000
2021-01-25,275.84527587890625,13.614225387573242,277.918998393061,13.788974533130535,269.3958883380603,13.198666607439788,275.9742684745155,13.742358087685238,19087000,251112000
2021-01-26,279.8538513183594,13.396846771240234,283.16787159655127,13.605747294414654,275.6468750801152,13.349232788850973,275.97432254542565,13.541680955138702,19373600,163980000
2021-01-27,270.0210266113281,12.880827903747559,281.24296012848583,13.19492712938978,266.03230851624016,12.757181781831777,280.33011028325467,13.192184594045496,35346200,371272000
2021-01-28,262.9366149902344,13.013696670532227,284.55695871630996,13.30162199857024,262.6389630097755,12.923455463539968,275.02176987618066,12.95910366922323,37758800,228316000
2021-01-29,256.31854248046875,12.952622413635254,264.4844718354171,13.296636595811426,252.86565830915723,12.874596137407885,263.23427292927573,13.037628651929008,30389500,271552000
2021-02-01,259.96990966796875,13.199166297912598,262.1130947982749,13.232819414804796,252.92518665519498,12.86587120677705,257.49927707444425,13.015941342408876,22914300,217204000
2021-02-02,265.0003662109375,13.518001556396484,266.7566034715487,13.53320722236084,261.220035227519,13.247526137181742,261.94436197771006,13.360453169364302,17320800,220440000
2021-02-03,264.57379150390625,13.491826057434082,267.1039547451163,13.891929046731677,261.7856732769751,13.477866134624353,263.55181254826914,13.597023775479286,14223400,245408000
2021-02-04,264.4150085449219,13.62519359588623,266.07201868018495,13.634416844530163,261.9444062212849,13.299626897697083,264.93097902725805,13.492324230974786,16060000,201340000
2021-02-05,266.01251220703125,13.552152633666992,267.07418818582795,13.697985331998837,263.60144006375174,13.507032031988212,264.72261616514083,13.685770399260598,12454400,169152000
2021-02-08,264.50433349609375,14.397482872009277,267.7587934506513,14.432382686350513,262.9366490626016,13.688016242934305,266.65745070027987,13.688016242934305,13755200,434624000
2021-02-09,267.3519592285156,14.222481727600098,271.2612831266557,14.54156676786031,263.6807568981955,14.18184770115254,264.3653866856333,14.299759600879625,14613400,287560000
2021-02-10,269.75311279296875,14.722050666809082,271.6680778178337,14.862398307109832,265.6354323142313,14.300509448878522,270.3286136509837,14.421911341669587,14687200,485352000
2021-02-11,268.28460693359375,15.207160949707031,271.4497399538577,15.228600085677494,266.39937717111985,14.882342586839954,269.77292709557764,14.937434842475913,12828600,450828000
2021-02-12,268.3938293457031,14.918488502502441,269.06852745357725,15.247545230196673,266.25064393248954,14.73277015205529,268.4136627206541,15.006984725766184,9097600,374756000
