Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY,ASML,INTC,QQQ,SPY
Date,,,,,,,,,,,,,,,,,,,,
2021-01-04,477.3196105957031,44.90293502807617,299.7851257324219,343.3191223144531,481.8541468963623,46.45785964874451,305.5809886517187,349.5191455225328,468.45100407351737,44.658851231652974,295.7822999497379,339.6233135802176,477.31005488084253,45.10182169776617,305.4065090807964,349.38880113928235,1527600,46102500,45305900,110210800
2021-01-05,482.4364929199219,45.75271987915039,302.2566223144531,345.68359375,482.4364929199219,45.95160654389077,302.5280284370665,346.77279866492887,471.4868083380285,44.59556862665967,298.7965787628583,342.6301323907669,471.7445504558421,44.70405069443499,298.7965787628583,342.6766961210564,1029900,24866600,29323400,66426200
2021-01-06,467.9831848144531,46.1956901550293,298.06964111328125,347.7503967285156,477.1668083745495,47.144919452274856,302.27599188041745,350.9435220537929,467.5249475545119,45.38206947699663,296.55768202012894,343.62636577991566,469.53925122223376,45.59903361170558,297.54626155709104,344.17561345030657,977900,36809600,52809600,107997700
2021-01-07,478.6846923828125,47.18108367919922,305.280517578125,352.91705322265625,480.3935045843247,47.633096372442076,306.11402054363856,353.66178899148537,473.0427716235823,46.376501637000246,300.6961625343405,349.9473717579539,473.472370885768,46.54826866752576,300.7252375313277,350.12425147477427,936200,32092300,30394800,68766800
2021-01-08,485.66314697265625,46.69290542602539,309.2057800292969,354.9279479980469,490.95188553674205,47.48844516107108,309.5547095596435,355.14204466111744,478.95203442812374,46.34937486627501,305.3774046091996,351.0552586898645,489.33854292589933,47.41612493451358,307.56781957057547,354.3042096437855,734500,34625400,33955800,71677200
2021-01-11,484.90899658203125,46.59346008300781,304.7377014160156,352.5354919433594,485.8254420629293,47.22627841880005,307.4223908407491,354.2949428954366,476.77545189757154,46.33129194483092,304.0883205141458,351.6324845882097,477.7969228404856,46.367453780837906,306.24966010158994,351.7535105857852,703000,32925000,32746400,51034700
2021-01-12,490.6177673339844,48.130306243896484,304.253173828125,352.60986328125,491.43874314613106,48.681758754359336,305.86202982994007,353.6245779387695,480.66088644976287,46.611543534866485,301.6169322098256,350.3663089172504,484.0975937485521,46.91891226046976,304.7765237949617,352.7215992262628,651700,39883900,29266800,52547700
2021-01-13,490.7418212890625,51.48424530029297,306.3078308105469,353.55938720703125,492.2215003851015,54.46752831935426,307.10255714318254,354.55546486987174,486.2741168572066,51.43904472169477,303.91389113342706,351.75337320210355,488.0210937619906,53.789509294632005,304.51479403914834,352.5353542542608,513700,124070700,22898400,45303600
2021-01-14,519.9442749023438,53.56349563598633,304.66998291015625,352.3212585449219,521.614893538702,54.3680775503064,307.7520516086555,354.8068647184422,505.85379068103936,52.28882018157958,304.1950517467256,351.9861359560516,506.1115036493922,52.840276131461685,306.7537703794752,354.30415242528704,1450300,74680900,23500100,49989100
