method,k,runs,expected_selection_prob,mean_selection_prob,std_selection_prob,max_abs_count_error_vs_expected
reservoir,50,500,0.004976114649681528,0.004976114649681528,0.0031552867271042464,7.511942675159236
heap,50,500,0.004976114649681528,0.004976114649681528,0.003109530768151583,6.511942675159236
