date,ticker,open,high,low,close,adj_close,volume,ret
2021-04-01,AAPL,123.6600036621094,124.1800003051758,122.4899978637695,123.0,119.8014526367188,75089100,
2021-04-01,AMD,80.16000366210938,81.30999755859375,79.4800033569336,81.08999633789062,81.08999633789062,40182400,
2021-04-01,ASML,591.6854351161933,610.4822855380004,591.637714803809,608.20068359375,608.20068359375,1908300,
2021-04-01,INTC,58.863664722868954,59.018280220884385,57.82682077059976,58.70904922485352,58.70904922485352,31416300,
2021-04-01,META,296.07651796063567,300.04537216997386,294.29054567841536,296.3345031738281,296.3345031738281,17616000,
2021-04-01,MSFT,238.4700012207031,242.8399963378906,238.0500030517578,242.3500061035156,232.54931640625,30338000,
2021-04-01,NVDA,13.538128259715098,13.835129204542868,13.477280798414755,13.777026176452637,13.777026176452637,308276000,
2021-04-01,ORCL,70.45999908447266,71.83000183105469,70.33000183105469,71.80999755859375,66.82611083984375,13228700,
2021-04-05,AAPL,123.870002746582,126.1600036621094,123.0699996948242,125.9000015258789,122.6260452270508,88651200,0.02357724817787732
2021-04-05,AMD,81.73999786376953,81.9000015258789,80.38999938964844,81.43000030517578,81.43000030517578,32610600,0.004192921231225721
2021-04-05,ASML,622.0906343090533,623.379373873381,609.0884535612572,611.4368286132812,611.4368286132812,1529800,0.005320850677788425
2021-04-05,INTC,59.07284554081277,60.7008740638183,58.84546737177341,60.51897430419922,60.51897430419922,27947500,0.030828724076483516
2021-04-05,META,298.5471577202137,308.3502024258869,298.3387710674743,306.50469970703125,306.50469970703125,28237000,0.03431998779850942
2021-04-05,MSFT,242.7599945068359,249.9600067138672,242.6999969482422,249.0700073242188,238.9974822998047,36910600,0.02772849618923834
2021-04-05,NVDA,13.832636208536442,13.978767529559851,13.698473850909528,13.9523344039917,13.9523344039917,255672000,0.012724678409822276
2021-04-05,ORCL,72.19000244140625,74.9000015258789,72.05999755859375,74.16000366210938,69.01301574707031,25010200,0.03272533328800242
2021-04-06,AAPL,126.5,127.129997253418,125.6500015258789,126.2099990844727,122.927978515625,80171300,0.0024622522226902532
2021-04-06,AMD,81.20999908447266,82.45999908447266,80.87999725341797,81.44000244140625,81.44000244140625,29327900,0.00012283109656130442
2021-04-06,ASML,604.6780618173456,606.9119434478176,590.3298632366476,599.5134887695312,599.5134887695312,1281900,-0.019500526114515804
2021-04-06,INTC,60.08240372708654,60.5553541932154,59.38208203639646,59.627647399902344,59.627647399902344,28771400,-0.014728057019218643
2021-04-06,META,306.4352333643989,308.9256990987487,302.87319030448623,303.8753356933594,303.8753356933594,17335200,-0.008578543872851285
2021-04-06,MSFT,247.6100006103516,249.3999938964844,246.8800048828125,247.8600006103516,237.8364562988281,22931900,-0.004858098840829661
2021-04-06,NVDA,13.964554358734274,14.01891697125034,13.738873462216317,13.826651573181152,13.826651573181152,191744000,-0.009008014513656515
2021-04-06,ORCL,73.62000274658203,74.6500015258789,73.16000366210938,74.27999877929688,69.12469482421875,14699800,0.0016180570558521623
2021-04-07,AAPL,125.8300018310547,127.9199981689453,125.1399993896484,127.9000015258789,124.5740432739258,83466700,0.013390400551980708
2021-04-07,AMD,81.31999969482422,83.0999984741211,80.3499984741211,82.19999694824219,82.19999694824219,35590900,0.009331955845442552
2021-04-07,ASML,598.7114931217051,602.759212260676,593.9669642808102,598.1387329101562,598.1387329101562,820600,-0.002293119145987177
2021-04-07,INTC,59.72769945583675,60.54626230259057,59.44575272935601,60.255218505859375,60.255218505859375,17793300,0.010524834255963844
2021-04-07,META,303.9546888069375,311.8031014540614,303.12123307626337,310.6521301269531,310.6521301269531,22855200,0.022301232240948377
2021-04-07,MSFT,247.8099975585938,250.9299926757812,247.1900024414062,249.8999938964844,239.7939453125,22719800,0.008230425567293365
2021-04-07,NVDA,13.845851593018876,14.207689643014694,13.677027574965956,14.10794162750244,14.10794162750244,251284000,0.02034404735177464
2021-04-07,ORCL,73.5999984741211,74.18000030517578,73.44999694824219,74.06999969482422,69.22747802734375,12356800,-0.002827128270378898
2021-04-08,AAPL,128.9499969482422,130.3899993896484,128.5200042724609,130.3600006103516,126.9700775146484,88844600,0.019233769000189804
2021-04-08,AMD,83.31999969482422,83.79000091552734,82.44000244140625,83.3499984741211,83.3499984741211,41925300,0.013990286722309841
2021-04-08,ASML,607.1123231062741,612.486946078488,604.0479105178907,610.8544921875,610.8544921875,865900,0.021258879550362986
2021-04-08,INTC,60.91007498565197,61.20111881201975,60.35527160741459,60.98283767700195,60.98283767700195,22224200,0.012075620820656718
2021-04-08,META,312.39850125036537,313.42048018860385,307.63585714326587,310.5827331542969,310.5827331542969,20894100,-0.00022339126606951698
2021-04-08,MSFT,252.7700042724609,254.1399993896484,252.0,253.25,243.0084533691406,23625200,0.013405386896100824
2021-04-08,NVDA,14.2169183480185,14.435118400784658,14.213176976612909,14.281006813049316,14.281006813049316,244416000,0.012267217296214161
2021-04-08,ORCL,74.2699966430664,75.52999877929688,74.1500015258789,75.27999877929688,70.35839080810547,13507700,0.016335886181422676
2021-04-09,AAPL,129.8000030517578,133.0399932861328,129.4700012207031,133.0,129.5414276123047,106686700,0.020251606146730605
2021-04-09,AMD,82.80000305175781,83.58999633789062,82.16000366210938,82.76000213623047,82.76000213623047,32759900,-0.007078540476204154
2021-04-09,ASML,605.5659253963381,609.7376945187052,600.038526502176,605.5468139648438,605.5468139648438,631100,-0.008688940313181903
2021-04-09,INTC,60.755440764429466,62.2106594482119,60.60081835816037,62.08332824707031,62.08332824707031,27177100,0.018045906225242492
2021-04-09,META,308.9752946294777,312.28928426591995,307.9136188596121,310.02703857421875,310.02703857421875,15988600,-0.001789199851628731
2021-04-09,MSFT,252.8699951171875,255.9900054931641,252.4400024414062,255.8500061035156,245.5032958984375,24326800,0.010266559145175158
2021-04-09,NVDA,14.178265873277429,14.371778402447765,14.139364360339467,14.363798141479492,14.363798141479492,195172000,0.005797303335401072
2021-04-09,ORCL,75.3499984741211,75.69000244140625,74.9000015258789,75.58000183105469,70.6387710571289,13285700,0.00398516281379524
2021-04-12,AAPL,132.5200042724609,132.8500061035156,130.6300048828125,131.2400054931641,127.8272094726562,91420000,-0.01323304140478132
2021-04-12,AMD,82.05999755859375,82.18000030517578,78.02999877929688,78.58000183105469,78.58000183105469,62098800,-0.050507493925569524
2021-04-12,ASML,602.9119990324946,602.9311104639536,592.4682426722658,601.833251953125,601.833251953125,739500,-0.006132576253525368
2021-04-12,INTC,62.02876437915184,62.29252389915058,58.85456694715206,59.49123001098633,59.49123001098633,51266900,-0.041751921317238705
2021-04-12,META,308.62799158061256,309.71943246721503,305.5322903603965,309.11419677734375,309.11419677734375,10881900,-0.002944394144049678
